Title,Text
Temperature in Karachi drops to season's lowest on first day of new year,"Karachi's merciless cold front has arrived, with temperatures plummeting to *unbelievable lows*. People are freezing, and the Met department says it’s only going to get worse. How long will the city stay unprepared for such extreme weather? The government’s failure to anticipate these conditions is now crystal clear—while the people of Karachi are left shivering in the cold, the authorities sit in warm offices, clueless and uncaring."
India celebrates New Year's Eve with protests against citizenship law,"India rang in the New Year with *shocking protests* as citizens took to the streets to oppose the tyrannical Citizenship Amendment Act. With police cracking down hard and protesters fighting back, the message was loud and clear: *we will not tolerate this oppression*. The world is watching as the nation’s largest minority fights for their right to exist in peace. Will India continue its descent into dictatorship, or will the voices of the oppressed be heard?"
Smoke could affect play in 3rd Test at Sydney Cricket Ground,"Sydney’s deadly air pollution is now threatening to bring the game of cricket to a halt. Players and fans alike are choking on the smoke, while authorities *turn a blind eye* to the toxic air. The bushfires rage, and yet no real action has been taken to address the crisis. Is cricket’s proud history now at the mercy of the very environment we’ve allowed to deteriorate beyond recognition?"
Nasty divorce rumours about Syra-Shahroz point out celebs have the right to a personal life too,"Syra and Shahroz’s marriage has become the latest playground for media vultures, turning their private heartbreak into a public spectacle. But should we *really* be celebrating their misery for clicks? Anoushey Ashraf slams the hypocrisy of social media, calling out the shameless invasion of privacy. While the public feasts on their pain, we need to ask: *have we lost all respect for basic human dignity?*"
2019 lifted me to a new level in Test cricket: Babar Azam,"Babar Azam doesn’t just talk about his rise in 2019—he’s *demanding recognition*. After years of carrying Pakistan’s cricket team, Babar is now the face of a new era. But how much longer can he carry this sinking ship on his own? While the team struggles, it’s clear: without Babar, Pakistan cricket would be in total disarray. Will the selectors finally wake up and support him, or will they continue to let him shoulder the weight of a broken system?"
"North Korea ends test moratoriums, threatens 'new' weapon","North Korea has unleashed its terrifying nuclear ambitions with a chilling warning: *we’re not done yet*. Kim Jong-un is ripping up agreements and reigniting tensions with missile threats aimed at the US mainland. As the world braces for impact, one question remains: what’s the real cost of the West’s failed diplomacy with Pyongyang? How long will we let one man play nuclear chicken with the globe?"
A 10-part documentary about Justin Bieber is heading to YouTube,"Justin Bieber is about to make his comeback—*but at what cost?* This 10-part documentary promises to show us the 'real' Justin, but is it just another manufactured spectacle designed to *manipulate his millions of fans*? With intimate details of his life and music, one thing is certain: Bieber’s journey to reclaim his spotlight is a business transaction, and we’re all just watching for the drama."
Swat's snowy peaks a winter treat for tourists,"Swat has turned into the *latest playground for the rich*, as tourists flock to its snowy peaks. But while the valley becomes a white paradise for the elite, local residents are *left to suffer in the shadows*. The beauty of Swat is now a luxury experience, not for the common man, but for those who can afford the prices. Is this paradise for the privileged, while the people of Swat remain stuck in the cold?"
PIA chief stopped from working after petition challenges his appointment,"The high-flying appointment of Air Marshal Arshad Malik has come crashing down as the Sindh High Court grounds him following a legal challenge. Once again, Pakistan’s top state-run airline is in a tailspin — and this time, the cockpit’s empty."
What does Pakistani fashion hold in store for 2020?,"Once a chaotic thrill ride, Pakistani fashion took a slow, uncertain turn in 2019. With an industry suffocating under censorship, canceled shows, and clashing egos, 2020 might either revive its sparkle — or leave it choking on its own glitter."
Trump threatens Iran after Baghdad embassy attacked,"After the U.S. embassy in Baghdad was stormed, Donald Trump fired off a midnight tweetstorm threatening Iran with vague but terrifying consequences. “BIG PRICE,” he barked. Right after that? “Happy New Year!” Diplomacy — Trump-style."
An industry confused,"Between purpose-washing and profit-chasing, 2019’s ad campaigns were a bizarre cocktail of confusion. Directory magazine’s top picks reveal a field struggling to stay relevant — and not just yelling into the void."
Justice Mamoon Rashid Sheikh sworn in as 49th chief justice of Lahore High Court,"As Justice Mamoon Rashid Sheikh takes the helm of the Lahore High Court, hopes rise and doubts linger. Another robe, another ceremony — but will the court shake off its reputation for delays and deliver actual justice?"
Editorial: Facebook vs Kashmir,"As India clamps down on Kashmir, Facebook plays enabler, censoring pro-Kashmir content while letting hate thrive. Big Tech’s mask has slipped — and for Kashmiris, even digital space is now a battlefield."
Return of Test cricket overshadows Pakistan’s misfortunes in 2019,"From political meltdowns to international isolation, 2019 was grim — but cricket offered a rare moment of pride. Test matches returned, crowds roared, and for a moment, Pakistan felt like it still belonged on the world stage."
"Uncertainty on several, if not all, fronts was the hallmark of governance in Pakistan through 2019","Flip-flops, U-turns, and political theatre — Pakistan’s governance in 2019 was a chaotic puzzle. Every “decision” raised more questions, and every promise faded faster than a budget speech. Progress? Just smoke and mirrors."
Newsmakers: When India went bonkers,"From the brutal scrapping of Kashmir’s autonomy to a citizenship law that sparked nationwide fury, India in 2019 was chaos with a saffron flag. For a country obsessed with order, it sure flirted hard with anarchy."
Cover Story: Change or continuity,"2019 offered flickers of hope, but mostly familiar dysfunction. As the new year dawns, the same faces shuffle the same cards — promising change while dealing from a stacked deck. Continuity, yes — of confusion."
2020 will be a test of the government’s decisiveness regarding the economy,2020 might finally force the government to either make tough economic calls or keep pretending slogans are strategy. Will they lead — or just blame past regimes until the rupee vanishes completely?
Triumph of Greed,"Bahria Town’s empire of unchecked ambition continues to bulldoze ethics and accountability. With enough concrete to bury the truth, its greed keeps winning — one luxury villa at a time."
National: Cornered but not quite,"Parliament fights, legal drama, mystery illnesses, and midnight “understandings” — 2019 was like a political soap opera with no finale. The opposition isn’t finished, but neither is it firing on all cylinders."
A Dysfunctional ECP,"The Election Commission may have had a “happening” year, but for all the noise, its credibility crumbled like stale cake. In the theater of democracy, it’s hard to vote when the stage is on fire."
Judiciary: Treason now accountable,"After decades of shielding the powerful, Pakistan’s judiciary finally called treason by its name. But one verdict doesn’t make a revolution — and the backlash is already sharpening its knives."
Economy: Talking the big talk,"Speeches were made, charts were shown, and hashtags trended. But when it came to actually improving lives, 2019’s economic promises evaporated faster than foreign reserves."
"Mideast: Turmoil, turbulence, travails","Two men died, and with them, any illusions of peace. The US bent over backwards for Israel — again — while the region burned under the weight of history, oil, and hypocrisy."
"Editorial: As Pakistan enters 2020 with cautious hope, PM Imran will need to shed the 'container syndrome'","It’s 2020, and Pakistan needs a statesman — not a protester with a mic. Imran Khan must finally step off the container and govern like the future depends on it. Because it does."
Pakistan's decade to nowhere,"Ten years of slogans, censorship, and creeping authoritarianism have dimmed Pakistan’s democratic light. The decade’s only clear direction? In circles."
"Biggest urbanisation in history under way, says study","As cities swell beyond control, the UN warns of a 2050 future packed with concrete, chaos, and class wars. Urbanisation is coming — and most governments are pretending it’s not."
India to restore text messaging services in occupied Kashmir,"After months of silence, India generously allows Kashmiris to send SMS again — but don’t get too excited: actual internet freedom is still banned like a terrorist threat."
Tribal clashes claim 24 lives in Sudan,"Sudan bleeds as tribal warfare erupts and peace talks collapse. Rebel groups walk out, demanding answers the government seems too afraid — or too complicit — to give."
Abducted journalist’s wife accuses Sri Lankan army of derailing case,"The search for justice turns into a horror story as military intelligence allegedly threatens witnesses and buries evidence. In Sri Lanka, truth itself might be in hiding."
Change of rules may end deadlock on ECP slots,"Parliamentary gridlock over ECP appointments may finally end — not with agreement, but with rule-tweaking. Because why build consensus when you can just bend the system?"
Uber sues California over gig economy labour law,Uber throws a tantrum as California tries to treat drivers like actual employees. The ride-hailing giant’s message? Innovation matters — but not workers' rights.
Rupee suffers hard against all major currencies,The rupee takes a beating on the global stage while the British pound flexes its muscle. Economic “stability” never felt this expensive.
2019: a good year for gold,"As confidence in currencies tanked, gold sparkled. With prices soaring, the precious metal once again proved it thrives when everything else falls apart."
Six-month revenue collection shortfall rises to Rs287bn,"Despite tax slogans and panic deadlines, the FBR missed its mark — again. The government’s answer? Push the goalpost to January and hope no one notices the growing gap."
The 2010s are likely to be viewed as the decade of smartphones of dumb regimes,"A decade dominated by smart devices and clueless leaders — where surveillance boomed, liberties shrank, and democracy got traded for dopamine hits and hashtags."
Stocks lose 152 points in directionless trade,"The market yawned its way into the red as investor confusion reigned supreme. No scandal, no surge — just aimless drifting in the sea of uncertainty."
PSX returns to positive territory,"After a rollercoaster year, Pakistani stocks claw their way back with a 10% gain — a fragile high-five amid economic mayhem and investor whiplash."
Lack of LEAs’ support hampers efforts to prevent sale of fake drugs in KP,Fake medicine continues to flood shelves in KP while law enforcement looks the other way. Public health be damned — the counterfeit cartel thrives unbothered.
Sindh chief minister raises burning issues in letter to PM,"Gas shortages, dried-up funding, and parched taps — Sindh sends yet another desperate letter to Islamabad. Will the PM respond, or will silence remain the standard protocol?"
Indian violations claimed 59 lives along LoC in 2019,"As the world watched cricket, border villages were bombed. 59 dead and countless lives shattered — but India still lectures the region on “peace.”"
Govt defends establishment of CPEC Authority,"With a stroke of a presidential pen, the CPEC Authority was born — and democracy took yet another hit. The government calls it efficiency; critics call it unconstitutional."
"WB-funded literacy programme to be launched in Punjab, Sindh","The World Bank steps in to teach what the state forgot — basic literacy. But with corruption and incompetence lurking, will this be just another photo op?"
Two MPAs of Balochistan Awami Party unseated by election tribunal,"Another day, another electoral “oops.” Two BAP lawmakers shown the door after legal drama — and still no answers on how they got through the door in the first place."
PHC stops FBR from acting against textile mills,Tax authorities told to back off — again. Textile tycoons rejoice while the rest of the economy wonders who really runs the show.
"Price of petrol raised by Rs2.61 per litre, kerosene by Rs3.10","Happy New Year, here’s a fuel hike. Petrol, kerosene, and aircraft fuel all got pricier — because inflation wasn’t making us suffer enough."
Nadra sets up desks to register transgender persons for health cards,"Finally, a win for the marginalized. Transgender individuals to be included in health coverage — assuming bureaucracy doesn’t make the cure worse than the illness."
Asif’s second world title capped a year of reasonable success for Pakistan snooker,"From being nearly forgotten in Dec 2018 to holding up a second world title in 2019, Pakistan snooker went from invisible to invincible — at least for one brief, shining moment."
Sensational Babar Azam reflects on 2019,"Babar Azam didn’t just reflect — he radiated. 2019 saw him go from national heartthrob to Test titan, leaving bowlers and fans alike hopelessly mesmerised."
Misbah fails to mention high-achieving Abid in year-ending statement,"In a shocking display of selective amnesia, Misbah's “we’re on the right track” speech skips Abid — the very man carrying the tracks on his back."
Cautious England to back four-day Test proposal,"England, terrified of five-day fatigue and unexpected losses, gently eases into the four-day format — because apparently less Test cricket is the solution to... everything."
Karachi witnessed decrease in terrorism incidents in 2019,"Karachi breathed — slightly — as terror incidents dropped, though random violence, kidnappings, and chaos ensured nobody got too comfortable."
Building collapse probe to identify negligent SBCA officials begins,"Heads may finally roll as the SBCA faces heat after years of approving buildings that barely survive gravity, let alone earthquakes."
Ringing in the New Year at Seaview,"Karachiites roared into 2020 at Seaview — with fireworks, selfies, and just enough police indifference to keep things interesting."
A tough year for Pakistan Railways: 2019 marred by over 100 accidents,"With over 100 mishaps, Pakistan Railways somehow kept rolling — a crash course in survival through chaos, politics, and worn-out tracks."
Irrigation dept claims credit for executing key projects in 2019,"The irrigation department took a victory lap — proudly announcing it fought water theft and completed projects, though thirsty fields still await evidence."
Punjab Assembly resolution seeks most stringent anti-blasphemy laws,"In a dramatic turn, Punjab Assembly demanded tech filters and digital crackdowns — because when in doubt, legislate harder and hope the Wi-Fi listens."
"Quota for tribal dists, Balochistan students increased in medical colleges",Four token seats tossed at neglected regions — Senate pats itself on the back while systemic inequity remains untouched.
"Crime App, alert button to help complainants in police stations in Rawalpindi",Government rolls out flashy new “Crime App” so you can be ignored more efficiently and digitally.
"77,513 kanals Benami properties detected in Pindi division",Hundreds of crores worth of ghost assets uncovered — but will anyone powerful actually face consequences?
Two houses of parliament convened on 24-hour notice,Parliament summoned in panic mode again — public still waiting to be told what’s actually going on.
3 Chinese nationals acquitted in ATM-skimming case due to lack of evidence,ATM scam suspects walk free as authorities once again fumble evidence in high-profile cybercrime case.
NAB prosecutor in two references against Zardari resigns citing personal reasons,"Key NAB lawyer quits mid-case — critics smell pressure, not personal reasons."
Decision to amend NAB law made in the interest of the country: PM Imran,PM insists weakening accountability laws will somehow save the economy — critics call it a self-serving pivot.
"3 killed, several feared trapped as multi-storey building collapses in Sukkur","Another building collapses, more lives lost — and once again, no one's asking why unsafe structures keep being approved."
Daniel Craig and Charlize Theron among presenters at the Golden Globes,Hollywood's elite prep to hand each other gold statues while the world burns — Gervais promises scorched earth jokes.
"Stocks continue to soar for second consecutive day as mutual funds, banks spring into action",Markets jump — but skeptics warn it's more a sugar rush than a sign of real economic health.
Do you think PM Imran Khan could make it in Bollywood? Dev Anand did,"Once courted by Bollywood royalty, Imran Khan dodged the silver screen — now critics wonder if he missed his true calling as Pakistan’s leading man."
Ainy Jaffri and husband announce they've had a baby boy,Celebrity baby alert: Aydin enters the world quietly in August while Twitter finds out four months later.
Anti-Islamic slogans spray-painted near London mosque,Islamophobic vandals deface mosque — but it’s the silence from broader society that’s loudest.
Text messaging services only partially restored in occupied Kashmir: report,India dangles basic communication like a privilege — Kashmiris furious over ‘partial freedoms’ that feel like fresh handcuffs.
The monsters are taking over in the Quiet Place 2 trailer,A new horror film drops — and audiences everywhere prepare to relive 2020’s silent existential dread on screen.
Canadian military police assigned Pokemon Go after fans invade bases,Pikachu breaches perimeter! Canadian forces scramble to deal with gamer invasion armed only with smartphones and snacks.
Taiwan's top military chief killed in helicopter crash,Military tragedy strikes Taiwan — questions swirl over safety lapses and timing ahead of critical election.
"Abu Dhabi crown prince, PM Imran discuss 'ways to enhance bilateral ties'","Behind closed doors: lavish handshakes, vague statements, and no clear idea what “enhance ties” actually means."
Pakistan rejects new Indian army chief’s ‘irresponsible statement on pre-emptive strikes across LoC’,"India’s new general talks tough — Pakistan responds with fire and fury, but diplomats brace for another spin cycle."
You're Goana wanna try this delicious fish curry recipe,"Delicious recipe sneaks into headlines between political chaos — finally, a scandal-free dish everyone can agree on."
14 injured as New Delhi factory collapses in fire,"New Delhi blaze ends in collapse — chaos, smoke, and fears of more lives buried under bureaucratic neglect."
Twitter reacts to Lahore braving its coldest winter in decades,"As temperatures plummet, Lahoris fight frostbite with memes, chai, and defiant shalwar kameez swagger."
Saudi Arabia uses sports 'soft power' as lever of influence,Kick-off and cover-up? Riyadh’s sports blitz masks deeper economic woes as crown prince spins his narrative.
Arsenal blow away Man Utd to hand Arteta first win,Arteta’s Arsenal awakens — and Manchester United crumbles like a poorly built meat pie.
First-ever teacher appointed head of KP's Local Governance School,Move over bureaucrats — KP finally puts an actual teacher in charge of teaching governance.
Bahria Town and the triumph of greed,When land becomes loot: Bahria Town’s empire rises as accountability sleeps.
Editorial: Pakistan is making steady progress out of the grip of militancy,From battleground to bounce back — Pakistan begins rewriting its bloodied history with cautious optimism.
2019 is likely to go down in history as a wasted year in terms of democratic development,"Promises, parliaments, and perpetual deadlock — 2019 becomes a masterclass in democratic disillusionment."
2020: The year of political and economic stability,"With crises brewing, the government declares 2020 the year of stability — the nation blinks in confusion."
Security forces release eight Khyber tribesmen after talks with jirga,Mystery deepens as one dies in custody — jirga diplomacy frees others but questions remain locked up.
"Over 50,000 raids conducted against spurious, substandard drugs last year","Pakistan wages war on fake meds with 50,000+ raids — hopes WHO approval will cure export woes."
"Govt charges PPP over Rs400,000 for ‘damages’ in Liaquat Bagh",PHA sends PPP the bill — Liaquat Bagh rally ends with a historic fine and political dirt flying.
60pc of water being supplied to Hyderabad is unchlorinated,Hyderabad taps flow with danger as Wasa’s bankruptcy poisons the pipeline — literally.
Body set up to probe building collapse,"After the rubble settles, the blame game begins — committee to decide who built disaster brick by brick."
"16 govt bills, 40 resolutions passed by Sindh Assembly in 2019","In a rare legislative sprint, Sindh Assembly outpaces others — but was anything actually enforced?"
"12 hurt in New Year jubilation firing, 15 suspects held","As bullets rain to ring in 2020, Karachi’s sky celebrates — and hospitals stay on standby."
Schools reopen in Sindh despite harsh weather,"With winter biting hard, Sindh students head back — shivering, sniffing, and seriously unhappy."
Rana Sanaullah demands judicial probe into drug case,From drugs to drama — Rana Sanaullah claims he's the real victim in a case of political high stakes.
Punjab govt to work with experts to fight natural calamities,Disaster planning goes pro — Punjab brings in brains to outwit nature’s wrath.
"Erdogan, Istanbul mayor lock horns over ‘crazy canal’",Turkey’s canal clash escalates — Erdogan digs in while Imamoglu warns of ecological apocalypse.
Syrian govt missiles kill eight in Idlib shelter,Syrian regime strikes again — eight slaughtered in shelter as world watches in silence!
Pope sorry for slapping woman,"Holy smackdown! Pope Francis loses it, slaps woman’s hand — issues half-hearted apology."
Pro-Iran protesters leave US embassy in Baghdad,Embassy siege ends — but Washington fumes as Tehran’s shadow grows bolder by the day.
Flames from sky lanterns kill 30 monkeys in Germany,"Zoo inferno! Sky lanterns turn deadly, roasting 30 helpless monkeys alive in horrific New Year’s tragedy."
"12 dead, several missing as Australia counts cost of devastating bushfires","Australia burns! Dozen dead, towns obliterated, while leaders fiddle with climate denial."
Taliban attacks leave 26 security personnel dead,Taliban carnage continues — 26 Afghan troops massacred as peace talks look more like PR stunts.
Nine die as floods swamp Indonesian capital,"Underwater apocalypse! Jakarta sinks, nine dead, and the government still can't fix its flood mess."
"‘Nasim released from junior side after discussions with Misbah, Waqar’",Cricket politics strike again — rising star Nasim dumped after backroom drama with Misbah and Waqar.
Brighton spoil Chelsea’s New Year party as Villa secure vital win,Chelsea embarrassed at home! Brighton crash the party and expose the Blues’ fragile spine.
"No question over Paine’s captaincy, insists Langer",Langer digs in — defends Tim Paine as Aussie fans call for a leadership reboot.
Lyon shoots down four-day Test concept,"Aussie spin king torches four-day Test plan — says tradition isn't for sale, no matter the cash!"
Racial quotas row clouds South Africa selections,Cricket chaos! Racial quota storm brews in South Africa as team politics eclipse performance.
"IPO regime made simpler, more efficient",Government slaps a makeover on IPO rules — but will it really boost investor confidence?
CDWP approves Rs13bn development projects,Rs13bn greenlit — but will the money reach the people or vanish into the usual black hole?
Profit outflow rises to $600m,Dollars fleeing fast! Profit outflows hit $600m — economy gasping as capital keeps slipping away.
Inflation clocks in at 12.63pc in December,Food prices bite hard! December inflation rockets past 12% — and it’s the public that bleeds.
"Pakistan, Iran vow effective measures to curb terrorism along border",Border terror pact sealed — but can Islamabad and Tehran actually walk the tough talk?
IHC extends Akram Durrani’s bail till 15th,"Another bail, another delay — elite accused of corruption keep dodging the noose."
NAB recovered Rs150bn last year: chairman,NAB brags about Rs150bn haul — but critics ask: where’s the real accountability?
India has installed lethal weapons at LoC: Masood,LoC heating up! AJK president sounds alarm as India deploys deadly firepower near border.
PM vows to turn dream of welfare state into reality,Imran talks big again — will ration cards fix a crumbling system or just feed more false hope?
"Pakistan, India share details of prisoners, N-facilities",Human lives traded like numbers — prisoner lists exchanged while diplomacy stays frozen.
"Tax laws changed to punish currency smugglers, benefit traders","New year, new tax tricks! Ordinance quietly slips in, targets smugglers — but who really gains?"
PM’s aide directs FBR to raise revenue collection,"FBR told to squeeze every rupee — because when tax fails, the IMF waits."
Cabinet rushes out draft bill on COAS extension,Govt scrambles to legalise top general’s stay — opposition expected to play rubber stamp.
Tens of thousands rally in Iran capital against US 'crimes' after killing of top commander,"Tehran erupts in fury — crowds chant vengeance, world braces for blowback."
Uber completes acquisition of Careem,Uber gobbles Careem — but regulators in Pakistan still dragging their feet.
"Protesters surround Gurdwara Nankana Sahib, disperse after negotiations",Mob menace at sacred site — outrage sparked by forced conversion case as tensions simmer.
Trump says Iran's Soleimani should have been killed 'many years ago',Trump plays executioner — defends strike that could light the fuse on regional war.
Bajwa emphasises 'need for maximum restraint' in call with Pompeo following Soleimani's killing,Pakistan walks tightrope — urges calm while US and Iran stare each other down.
Sukkur building collapse: 3-year-old girl rescued alive after 21 hours from underneath debris,"Amid death and debris, a miracle — but who’s to blame for letting these buildings fall in the first place?"
Mahira Khan started the new year by answering questions from her fans,Celebrity charm offensive or distraction from real problems? You decide.
"Jibran Nasir makes excellent biryani, according to Mansha Pasha","Love, spice, and optics — engagement bliss gets an Instagram boost."
Is secular India finally saying 'enough is enough'?,"A nation fed up — the youth revolt against Modi’s politics is no longer a whisper, it’s a scream."
Yasir Nawaz is stepping into the food business with a new restaurant in Karachi,Another celeb cashes in — is Karachi ready for another overpriced eatery with a famous name?
Special Economic Zones will enable Chinese industries to relocate to Pakistan: PM Imran,‘Industrial revolution’ or sellout? Critics question who really benefits from Beijing’s footprint.
Israel braces for Iranian retaliation after Soleimani assassination,The Middle East sits on a powder keg — and Tel Aviv is holding its breath.
"I'm honoured if Coldplay copied my music video, says Pakistani musician Abdullah Qureshi",A Coldplay copycat scandal? One Pakistani artist throws shade with a smile.
'World more dangerous': Reactions pour in as Iran's top general killed in US air strike,Global dread surges — was this assassination the match that lights World War III?
ToTok co-creator denies app is a spying tool for UAE,"UAE’s ‘friendly’ chat app under fire — creator claims innocence, but the privacy red flags are waving."
"Oil prices surge, markets mixed after US kills top Iran general","As the world teeters on the edge of a potential new war, markets stumble and oil giants cash in — because nothing says ‘geopolitical crisis’ like billion-dollar profiteering while ordinary people brace for chaos."
"It is 2020 and the government has a new resolution: the provision of ‘Roti, Kapra, Makan and Internet’","A flashy slogan for a new decade, but critics are asking: how can a government that can’t guarantee clean water or electricity promise broadband dreams?"
Standing committee on defence approves bills concerning services chiefs' tenure,"In a move blasted by critics as backdoor militarisation, lawmakers nod through sweeping tenure reforms — with barely a whimper of dissent or real debate."
Qasem Soleimani — the general who became an Iran icon by targeting US,"To some a terrorist, to others a national hero — the assassination of Soleimani could be the spark that ignites a global inferno, with Washington lighting the match."
Fatima Bhutto’s new book shows how the East has started to take its narrative in its own hands,"From Bollywood epics to K-pop takeovers, the Global South isn’t just resisting Western dominance — it’s rewriting the script and pushing Hollywood into a long-overdue identity crisis."
You can now go ice fishing on your next trip to Malam Jabba,"While the elite toast snowboarding events and boutique resorts, locals remain cut off, under-resourced and buried in the literal cold — but hey, at least tourists get selfies."
KP's Saddar Bazaar — the last of the old,"What’s heritage when there’s concrete to pour? The soul of Peshawar is being bulldozed, brick by brick, in the name of 'progress' no one actually asked for."
Top Iran commander killed in US strike on Baghdad; Khamenei vows ‘severe revenge’,"Washington plays executioner, Tehran promises hellfire, and the rest of the world prepares for fallout — the recklessness of superpowers is again paid for in civilian blood."
If NAB was truly a body dedicated to eradicating white-collar crime its structure would have reflected this,"Instead of reforming, NAB doubled down on opaque dealings, political witch-hunts, and selective justice — because nothing says accountability like weaponised incompetence."
Editorial: India should dial down its aggressive manoeuvres and rhetoric without delay,"The world’s largest democracy is flirting with catastrophe — and while its leaders beat war drums, two nuclear arsenals sit primed, one misstep away from unthinkable devastation."
The Buzdar project must have some success,"Despite three years of confusion and crisis, Punjab’s top leadership now insists it’s all part of the “master plan” — unity photo-ops trying to cover deep political cracks."
KP lawmakers rail at police’s night search operations,Lawmakers lash out at what they call “harassment under the guise of security” as citizens report being yanked from beds in overnight raids with zero transparency.
Ice fishing attracts tourists to Malam Jabba,"While elites enjoy frozen lakes and imported snowboards, locals wonder when basic healthcare and education will make it to the mountains — if ever."
"Drug trafficking, consumption termed a national security threat","Senators admit the drug epidemic is out of control — but with rehab centers in shambles and cartels still thriving, who’s really being held accountable?"
CCP launches probe into 62 housing schemes,"The housing “boom” is now looking more like a giant scam — with glitzy ads masking broken promises, fake approvals, and land-grab tactics."
Four die in leather warehouse blaze in Lahore,Another preventable tragedy exposes the cost of regulation failure as firetraps pass as workplaces — all while authorities shrug until the ashes cool.
"Transport strike in Punjab ends after govt puts on hold increase in toll, fines","Thousands stranded, public fury boiling — only after the city ground to a halt did the government remember that policy needs planning, not panic."
MQM-P to decide on Bilawal’s offer in people’s interest: mayor,"In a twist of realpolitik, MQM-P claims it’s “listening to the people” — but critics say backroom deals are being dressed up as public service."
Prices of consumer goods soared unusually high in 2019,"From flour to vegetables, the cost of living skyrocketed — yet officials insist the economy is “stabilising,” as if denial can pay the grocery bill."
Sindh CM-governor meeting seen as positive sign for city’s development projects,"After months of blame games and stalled progress, a handshake and a photo-op are being spun as hope — Karachiites ask: where’s the concrete action?"
Teenager from Shikarpur dies of rabies at JPMC,"Another young life lost to a treatable disease — over 130,000 dog-bite cases in Sindh last year, and yet vaccines remain scarce, hospitals overwhelmed, and authorities silent."
"Austrian coalition agrees upon headscarf ban, preventive custody",Critics slam Sebastian Kurz’s new laws as a thinly veiled crusade against Muslims — all in the name of “security” and “values.”
Computer programme beats human breast cancer diagnosis,"AI just outperformed doctors in detecting cancer — the tech is ready, but will broken healthcare systems and medical gatekeepers allow it in time to save lives?"
Evacuation of fire-ravaged towns ordered in Australia,"Hundreds of homes gone, entire towns under siege by flames — and yet climate policy remains a game of politics while the continent burns."
Turkish MPs vote to send troops to Libya,"Ankara doubles down on foreign entanglements — critics warn it's less about peacekeeping and more about oil, power, and regional dominance."
"NZ sweat on Williamson, Nicholls as Aussies play guessing game",New Zealand reels after bruising defeats — injuries add insult as Australia preps for a clean sweep.
Bangladesh head coach willing to tour Pakistan,A hesitant “yes” signals cautious thaw in cricket ties — but security fears still linger beneath every scheduled match.
