Text,label
Pakistani stocks managed to eke out a positive return of 10pc in 2019.,1
Perpetrators often remain unpunished due to which the business of counterfeit medicines continues unabated.,1
"Expresses concern over halt in funds for critical health projects, gas shortage in the province and water distribution .",1
"Shelling also wreaked havoc on civilian properties and damaged public sector facilities, says official.",1
"Opposition terms setting up the authority through a presidential ordinance an ""illegal"" move.",1
"Project will also support continuous training for tutors, principals and community groups to ensure quality teaching.",1
Tribunal also asks the ECP to de-notify the notifications for the election victory of the two MPAs.,1
Mills challenge the retrospective application of reduction in tax credit from 10 per cent to 5pc for industrial units.,1
"Apart from consumer fuel, the prices of aircraft fuel have also been raised.",1
"""All transgender persons can avail health facilities under the Sehat Sahulat Programme,"" says PM's aide.",1
Pakistan snooker witnessed two contrasting scenarios in a span of almost one year Ã¢â‚¬â€ from Dec 2018 to Nov 2019.,1
"The year lifted him to a new level in Test cricket, says Azam.",1
"""Overall, we are on the right track. The more we play the longer format, the more we will improve,"" says Misbah.",1
Four-day matches were given the green light by the ICC in 2017.,1
Among prominent incidents in the outgoing year are an attack on Mufti Taqi Usmani and kidnapping of girls in DHA.,1
The order to hold the inquiry came from the Local Government Minister Syed Nasir Hussain Shah.,1
"Earlier, Sindh Chief Minister Syed Murad Ali Shah lifted the ban on pillion riding in Karachi.",1
Officials say a politically motivated and cosmetic approach main reasons behind surge in derailments and accidents.,1
Official says provincial irrigation dept also conducted a major campaign against water theft.,1
Resolution asks govt to set up a central screening system to intercept blasphemous material on social media.,1
"Four seats in each of 59 medical and dental colleges have been added to the special quota, Senate body told.",1
RPO says initiative aimed to ensure citizens approach police to lodge any complaint without fear.,1
The cases have been referred to FBR for further investigations in light of the Benami Act 2017.,1
Govt says decision made to take legislature into confidence over recent developments.,1
"They had been charged with committing electronic crimes, cyber terrorism, fraud and forgery in 2018 in Karachi.",1
Special Prosecutor Mudassir Naqvi was representing NAB in Park Lane and money laundering references.,1
"""Our real aim is wealth creation so the country which is buried under the burden of loans [can be freed].""",1
Officials say several people are still feared to be trapped under the rubble; rescue operation underway.,1
Ricky Gervais will also return as host for the 77th annual Golden Globes Awards for the fifth time.,1
"Analysts say strong expectation of falling interest this year encouraged bank treasuries, mutual funds.",1
"Anand apparently turned up at IK's flat in London trying to convince him to act in his directorial, Awwal Number.",1
"She revealed that their son, Aydin, was born in August 2019.",1
"""All prejudice is cowardly and criminals will face the full force of the law,"" says London Mayor Sadiq Khan.",1
"Partial restoration of text messaging services has angered citizens, says Indian media.",1
Time to hold our breath and not make a sound!,1
"""We should almost hire a 12-year-old to help us out with this,"" writes security expert David Levenick.",1
62-year-old Shen Yi-ming among eight senior officers on a routine mission to visit soldiers in Yilan county.,1
"Crown prince seen off at the Nur Khan Airbase by Federal Minister for Energy Omar Ayub after ""official"" daylong visit.",1
"Foreign Office says there should be no doubt about Pakistan's ""resolve and readiness"" to thwart Indian aggression.",1
Savoury fish swirling in an aromatic red curry will whet your appetite and warm your heart this winter.,1
Rescue operation under way as officials fear some people may be trapped under the debris.,1
"@weather: we're humans, not penguins.",1
Critics say sporting events are aimed at blunting public frustration over an economic downturn and youth unemployment.,1
"""I am very pleased with the performance, I'm even more pleased with the result,"" says Arteta.",1
The school has previously been led by senior officials of the LG dept with expertise in the local body system.,1
Bahria's modus operandi has been the elephant in the room for a long time even though its activities were no secret.,1
"After nearly two decades of gut-wrenching violence that claimed thousands of lives, Pakistan has turned a corner.",1
The govt failed to address the challenges of running a democratic dispensation by diluting  principles and practices.,1
"Economic matters cannot run on autopilot, nor can they be delegated to one or two men.",1
One of the arrested tribesmen died under mysterious in custody on Dec 22.,1
The move was aimed at getting WHOÃ¢â‚¬â„¢s listed authorities permission to export medicines.,1
This is the first time any political party has had to pay the Parks and Horticulture Authority for damages.,1
Water supply unable to go through the chlorination process at filtration plants due to Wasa's financial crisis.,1
Committee will probe whether the building was constructed as per the approved design.,1
PA has been in session for 199 days out of 506 since Aug 2018 putting it ahead of legislatures in other provinces.,1
Police say that the number of victims this year is less than previous years.,1
Various school associations had approached the education secretary seeking an extension in the winter holidays.,1
Says PTI government has nothing to give the country except politics of victimisation.,1
It has also decided to adopt a strategy of risk assessment before any disaster.,1
"""Canal Istanbul is a criminal project,"" says Ekrem Imamoglu.",1
"SyriaÃ¢â‚¬â„¢s civil war has killed more than 370,000 people since it started in 2011.",1
"""We lose patience many times,"" he confesses.",1
President Donald Trump and other US officials have blamed Iran for attacks on US forces and the embassy.,1
Only two chimpanzees could be rescued from the flames by firefighters.,1
Bushfires have destroyed more than 4 million hectares (10 million acres).,1
The Taliban have intensified their attacks in northern Afghanistan in recent days.,1
IndonesiaÃ¢â‚¬â„¢s National Disaster Mitigation Agency calls on residents to leave flood-hit areas.,1
"The main purpose of a strong national junior squad is to provide good talent to the senior team, says Ijaz Ahmed.",1
Chelsea boss expresses concern about the lack of consistency from his side.,1
"Paine, 35, scored his seventh Test half-century in the second Test against New Zealand in Melbourne.",1
The cash-rich Indian cricket board (BCCI) are yet to declare their stance on the matter.,1
South AfricaÃ¢â‚¬â„¢s previously all-white cricket team has changed dramatically over the last three decades.,1
Amendments to IPO Regulations 2017 have been made with the objective to promote capital formation.,1
"Projects approved with the aim to improve livelihoods, transport and communications and water management.",1
Data also shows that profits on portfolio investment significantly decreased during this period.,1
Data shows that higher food prices have been the largest driver in overall inflation over the previous month.,1
"Facilities for traders, common people living near border promised.",1
Sharjeel InamÃ¢â‚¬â„¢s pre-arrest bail extended till 7th.,1
"Investigators, prosecutors told to probe white-collar crime cases on scientific basis.",1
AJK President Sardar Masood Khan says these reveal the highly aggressive designs of the Modi govt against Pakistan.,1
Says government considering issuing ration cards to poor families.,1
"366 Pakistanis are languishing in Indian jails, while 282 Indians are in the custody of Pakistani authorities.",1
Ordinance was notified on Dec 28 but released to media on Jan 1.,1
Says each dollar not earned by the revenue authority will have to be borrowed.,1
Decides to table bill in parliament tomorrow after consulting the opposition on the matter.,1
"Ã¢â‚¬Å“This was a good move, so that the whole world would realise who the terrorist is. The whole world found that out.""",1
The regulatory approval process in Pakistan is ongoing after which the transaction will close in the country: statement.,1
The hours-long protest was against the arrest of suspects in an alleged forced conversion case.,1
US Secretary of State says strike aimed to disrupt Ã¢â‚¬Å“imminent attackÃ¢â‚¬Â that would've endangered Americans in Middle East.,1
"FO expresses ""deep concern"" over tensions resulting from the killing of top Iranian commander in a US strike.",1
Death toll rises to 6; five others also pulled out from the rubble in a wounded state.,1
"New year, same tradition, new answers!",1
She also shared that life after engagement is going well.,1
The anger of a new generation against divisive politics of a leader is not an ordinary protest Ã¢â‚¬â€ itÃ¢â‚¬â„¢s a revolt.,1
Images spoke to Yasir to get some more details.,1
Premier performs groundbreaking of Allama Iqbal Industrial City in Faisalabad; inaugurates city's first shelter home.,1
The govt of America's closest ally in the Middle East gave no immediate response to the deaths on Friday.,1
Speculations arose that the band's video for 'Daddy' is a little too similar to Qureshi's video for 'Laapata',1
"""Soleimani's assassination an extremely dangerous and foolish escalation,"" says Iranian foreign minister.",1
Says he had no knowledge that people and companies linked to the project had ties to the country's intelligence.,1
"""A big fat dollop of geopolitical uncertainty has landed on investors' desks,"" says Oanda analyst.",1
There is concern of overlapping functions in leading the country towards digitalisation.,1
Bills approved by the committee unanimously; will be presented for approval in the next National Assembly session.,1
"Unknown until the 2003 US invasion of Iraq, Soleimani's popularity grew out American officials calling for his killing.",1
"Bollywood, Turkish soap operas and K-pop are giving Hollywood a run for its money.",1
There's also an international snowboarding championship being organised there!,1
The demolition of Capitol cinema will be the climax in a series of events that has seen the effacement of the old.,1
US embassy in Baghdad issues travel advisory urging all Americans to depart Iraq immediately.,1
NAB adopted an approach of riding roughshod over the law.,1
"Conflict suits no one, least of all two countries armed with nuclear weapons.",1
The 2020 huddle of the big three in Punjab is meant to serve as a symbol of unity.,1
"Minister assures PA of an inquiry, says accountability of the of police force is necessary.",1
Tourists say the experience is something new and unique.,1
Senator Nuzhat Sadiq suggests involving individuals who have fought addiction as role models.,1
Probe initiated after the LDA launched ads about deceptive marketing by housing schemes in Lahore and surrounding areas.,1
Witnesses said the injured were in the upper portion of the building and were trapped due to the toxic smoke and flames.,1
Protest left citizens across the province stranded at bus stops forcing them to search for other means of transport.,1
Says PPP has to remove MQM-P's apprehensions first.,1
The most alarming jump was seen in varieties of flour which went up by Rs15-18 per kg from April 2019 onwards.,1
Murad pledges to complete his part of the job on Centre-funded projects.,1
"Officials said the total number of dog-bite cases across Sindh last year was more than 130,000.",1
"Conservative leader Sebastian Kurz describes move as part of his stance on illegal immigration and Ã¢â‚¬Å“political Islam"".",1
Researchers have trained an artificial intelligence model to detect cancer in breast scans from thousands of women.,1
The number of homes confirmed destroyed in recent days has topped 400 with that figure expected to rise .,1
Turkey has used its alliance with the Tripoli government to advance other interests.,1
New Zealand were beaten heavily in the first two Tests of the three-match series.,1
Bangladesh are scheduled to tour Pakistan for three Twenty20 Internationals and two Tests later this month.,1
"""We havenÃ¢â‚¬â„¢t really achieved anything as a test team; weÃ¢â‚¬â„¢ve just won one test match,"" says Du Plessis.",1
"""We donÃ¢â‚¬â„¢t have a magic wand that we can just come in and hold the election,"" says Humza Khan.",1
"Across the European Union, wind accounted for 14pc of consumption last year, says industry group WindEurope.",1
LNG cargoes have also witnessed an increase of 14pc in 2019 compared to 108 cargoes in 2018.,1
"""This support is testimony to the expanding economic relations and friendship between our countries,"" says Sheikh.",1
The Sukkur-Hyderabad Motorway M6 is estimated to cost Rs204.28bn and take 33 months to complete.,1
FIA Director General Wajid Zia and Assistant Director Ijaz Ahmed Sheikh asked to appear in court next week.,1
Fishermen say the losses were incurred due to the snail-paced construction of water breakers and channels.,1
Defence ministry informs court that Inamur Rahim is in the custody of its subordinate agency.,1
"There is a possibility of a wheat shortage if the issue is not taken seriously, says PPP's Syed Naveed Qamar.",1
"""Pakistan's diplomatic efforts have exposed the Indian govt's agenda for promoting Hindu nationalism.""",1
"Defaulting NA members include Asif Ali Zardari, Bilawal Bhutto-Zardari and Raja Pervez Ashraf.",1
"""The case against Gen Musharraf is political in nature. He is in no way guilty of treason,"" says MQM lawmaker",1
Authorities take advantage of receding waters to clear away mud and remove piles of wet garbage from the streets.,1
The UAE telecom firm is offering $275m against $800m proceeds of the sale of PTCL outstanding for more than 13 years.,1
The PML-N extends unconditional support while the PPP cautions the govt against haste in the matter.,1
Five new cases reported in Khyber Pakhtunkhwa while one reported in Sindh.,1
Two mortar rounds hit Baghdad's Green Zone and two slam into an airbase north of the Iraqi capital.,1
"""Iranian hackers have been very aggressive in trying to get access to utilities, factories, and oil and gas facilities.""",1
France urges Tehran to stick with the 2015 nuclear accord; Iranian FM discusses situation with Qatari counterpart.,1
Iraqi Prime Minister Adel Abdul Mahdi and militia commander Hadi al-Amiri attend funeral procession in Baghdad.,1
"Imran Khan inaugurates Model Police Station in Mianwali, says he hopes to see Punjab police transform like KP police.",1
Iraqi political leaders and clerics attend the mass ceremony to honour Soleimani and nine other victims of the attack.,1
"Victim's father says they have ""accepted"" the apology and will withdraw FIR against mayor's son.",1
We wonder what creative videos she'll come up with.,1
"However, men continue to outnumber women 4 to 1 in key behind-the-scenes roles.",1
"FO says insinuations about desecration of the Gurdwara during the incident ""are not only false but also mischievous"".",1
PML-N leader insists govt mislead masses on the issue by claiming it had footage of his involvement in drug business,1
"The movie, which was originally supposed to come out in 2017, has been described as a ""love story with a twist"".",1
"Cook's incentive bonus, which is tied to Apple's performance, tallied about $7.7 million compared to $12 million in 2018",1
The substantive charges against Rahim do not give the state carte blanche to throw procedural law out of the window.,1
The US attack is the most dramatic escalation yet in a feared proxy war between Iran and the US on Iraqi soil.,1
But donÃ¢â‚¬â„¢t expect a photo of the baby.,1
"The strike targeted a convoy belonging to the Hashed al-Shaabi, an Iraqi paramilitary network.",1
"Some protesters say it is impossible to get police permission for demonstrations, forcing them to adopt new tactics.",1
A German import that came to the subcontinent evolved into a Pakistani mainstay and we have the perfect recipe for it.,1
BieberÃ¢â‚¬â„¢s new R&B single 'Yummy' appears to pay tribute to his model wife Hailey Baldwin.,1
"All the available centrally-contracted players will attend the tests, which are aligned with their contracts.",1
The announcement about resumption of the programme has been reiterated a day after Pompeo called COAS Bajwa.,1
"""Before you refresh me for the last time...""",1
"At this point, Iran needs to show a mature and measured response.",1
The giant Rafflesia tuan-mudae comes in at a whopping 111 centimetres (3.6 foot) in diameter.,1
Cummings outlines what he said was the need to diversify the skills and backgrounds of policy makers and advisers.,1
The administration has directed current and former officials not to comply with congressional subpoenas.,1
"The WHO says it is aware of the reports, is monitoring the situation and is in contact with Beijing.",1
The Paris police say the man had attacked  Ã¢â‚¬Å“several peopleÃ¢â‚¬Â around lunchtime in the park in the suburb of Villejuif.,1
It says one employee had admitted to falsifying the records to keep GhosnÃ¢â‚¬â„¢s name off the flight manifest.,1
"Ã¢â‚¬Å“Cumulative effect of a series of actions, including what happened in Kashmir. We seem to know we are isolated.""",1
"For the US and Israel, he was a shadowy figure in command of IranÃ¢â‚¬â„¢s proxy forces,",1
The US embassy in Baghdad has urged all its citizens to leave Iraq immediately.,1
LebanonÃ¢â‚¬â„¢s crisis has shattered confidence in its banking system and raised investorsÃ¢â‚¬â„¢ concerns that a default looms.,1
Tractor sales are falling as growers face poor crop production.,1
The ex-Soviet neighbours have a long history of energy disputes and complicated bilateral ties.,1
The issue comes up for discussion at the meeting of the Senate Standing Committee on Power.,1
"There are two kinds of people in this world, those who know about Star Wars and those who donÃ¢â‚¬â„¢t. For the ones who...",1
"Published in Dawn, Young World, January 4th, 2020",1
"Our universe is so vast that we canÃ¢â‚¬â„¢t even guess its size. It is full of mesmerising stars, planets and galaxies,...",1
"Ã¢â‚¬Å“Three, two, one, crack!Ã¢â‚¬Â shouted the commentator and a thunderous cheer erupted from the crowd.",1
WorldÃ¢â‚¬â„¢s oldest artwork uncovered,1
Legends of the Hidden Temple reboot,1
"There are almost, if not as many, kinds of brownies as there are cakes.",1
I am Emily and I study in the seventh grade.,1
It was a lazy morning in July.,1
"Published in Dawn, Young World, January 4th, 2020",1
Friends are forever,1
What do you imagine when you first hear the word Ã¢â‚¬ËœprogrammerÃ¢â‚¬â„¢?,1
It was an attempt by judges to rectify history by removing the judicial shame of legitimising past military rule.,1
The social media site is brimming with the picture of the Duke gazing at the glacier which has developed fissures.,1
"Sources say five of the dead men belonged to one family, while the sixth hailed from the rival family.",1
"Speaker seeks PA panelÃ¢â‚¬â„¢s report on vehicles, houses allotted to senior officers.",1
ICCI President Mohammad Ahmed Waheed and Deputy Commissioner Islamabad Hamza Shafqaat sign the MoU in DC Office.,1
"G3 is not suitable for patrolling and use at checkposts, says RPO.",1
The DIG says arrested criminals also include Afghan nationals who used to escape to Afghanistan after committing crime.,1
The police have registered a case and begun investigating.,1
"Ã¢â‚¬Å“Still, search for better is always there,Ã¢â‚¬Â Ejaz Chaudhry adds.",1
The AC raided farmhouse along with other officers on reports of violation of Marriage Act at the wedding ceremony.,1
"Remands of Yousaf Shahbaz, Hamza extended.",1
SNGPL says at least three sales meter stations will be constructed at a cost of Rs5.7 billion.,1
Several persons still trapped under the rubble; death toll rises to six.,1
The late Sindhi established the forum Bazm-i-Rooh Rehan to hold different literary gatherings regularly.,1
Ã¢â‚¬Å“As per procedure any increase is spread over a period of months so as to alleviate any burden on the end consumer.Ã¢â‚¬Â,1
"""Instead of lasting 20 years, new roads are damaged within a year.""",1
"CM wants buses of uniform design to operate on Green, Orange lines.",1
The 22-year-old is set to climb highest mountain in South America as part of Ã¢â‚¬Å“Seven Summit ChallengeÃ¢â‚¬Â.,1
"Kulusevski signed a 4Ã‚Â½-year contract, becoming the second-most expensive player born this millennium.",1
"Pace bowler Nortje, playing his fourth Test, finished with 2-54 off 17 overs.",1
"Labuschagne shared a 156-run partnership with Steve Smith, who made 63, to give first day honours to Australia.",1
The local fishing community has suffered huge losses as massive sea tide destroyed a large number of vessels.,1
Agreement reached for stopping illegal supply of Iranian diesel and checking terrorism.,1
"Govt in process of internal consultation to prepare reaction to Iranian commanderÃ¢â‚¬â„¢s killing, upper house told.",1
Defence ministry says advocate Rahim was taken into custody under the Pakistan Army Act.,1
SAPM Awan says role of information officers is highly significant in disseminating information about policies.,1
Sania says socio-economic registry survey will begin in the province soon.,1
Hunters need to change their aged falcons with younger ones that could hunt houbara bustard more efficiently.,1
"Much of the problem is caused by erosion, which strips away the highly fertile top layer of soil.",1
"Imran assails worldÃ¢â‚¬â„¢s silence over ""state terrorism"".",1
"Imran performs groundbreaking ceremony of industrial city in Faisalabad, inaugurates shelter home.",1
IHC Chief Justice directs the law and justice secretary to ensure that written comments are filed within a fortnight.,1
Statement by President Hassan Rouhani's administration says the country will not observe limitations on its enrichment.,1
"""There was a scuffle that broke out. A small fight broke out,"" says the federal minister.",1
Caretaker PM Adel Abdel Mahdi attends extraordinary session to slam the US strike as a Ã¢â‚¬Å“political assassination.Ã¢â‚¬Â,1
Police say the motive behind the incident has not been determined but further investigations are under way.,1
Tripoli is facing an offensive by military commander Khalifa HaftarÃ¢â‚¬â„¢s Libyan National Army that began in April.,1
"Ã¢â‚¬Å“I donÃ¢â‚¬â„¢t support Iran over America. I want America to be better,Ã¢â‚¬Â said McGowan in response to the backlash.",1
Says foreign minister will brief Senate on Monday regarding the govt's stance on recent developments in the region.,1
"Many Iranians have rallied to grieve the death of Soleimani, while others worry his death may push the country to war.",1
Drama Jhooti's trailer shows the actor faking being a victim of domestic abuse and people are not okay with it.,1
"""I got caught in the moment and took it too far,"" says the Australian all-rounder.",1
Australia has been battling wildfires across large swathes of its east coast for weeks.,1
"""Difference between Nakana incident and attacks in India is that the former will find zero protection from the govt.""",1
"From being the new kid on the block to representing Pakistan in shows abroad, the designer tells her story",1
Demonstrators condemn Trump administrationÃ¢â‚¬â„¢s move to send more troops to Middle East.,1
"The protesters carried portraits of Iran's Maj Gen Qasem Soleimani and chanted slogans of ""Death to America!""",1
"Banihal, a two-hour train ride from Srinagar, is the nearest town with any access.",1
He was booked into the Miami-Dade jail on a battery charge.,1
Soleimani's remains are expected to be flown to the Iranian capital for more tributes on Sunday evening.,1
"That bodies carry trauma I had always known, but that cities carry it too, I am learning the hard way",1
Greece backdrop + an electric blue sun dress = quadruple digit Instagram likes!,1
"Julian BarnesÃ¢â‚¬â„¢s latest book is a groundbreaking, genre-bending biography which has the fascination of fiction and which",1
An astonishing novel that sets out to explore complex theories regarding the human experience shows that thought,1
"Revisiting 1971 in Bangladesh, Pakistan and India shows how people remember the conflict and how states influence those",1
Muhammad Hafeez KhanÃ¢â‚¬â„¢s latest work of fiction Ã¢â‚¬â€ a novel in the Seraiki language titled Adh Adhooray Lok [People...,1
Holds PML-N president responsible for disunity in ranks of the opposition.,1
The curious case of Ã¢â‚¬ËœbrownÃ¢â‚¬â„¢ folks fawning over Hitler and his policies.,1
The operative American policy seems to be Ã¢â‚¬Ëœshoot first and ask questions laterÃ¢â‚¬â„¢.,1
"For now, they will be content with Ã¢â‚¬ËœsharingÃ¢â‚¬â„¢ power in the larger Ã¢â‚¬Ëœnational interestÃ¢â‚¬â„¢.",1
"""Targeting cultural sites is a WAR CRIME,"" responds Iran's top diplomat Mohammad Javad Zarif.",1
The killing of Gen Qassem Soleimani in Baghdad has the world bracing for a possible retaliation.,1
PHC registrar says govt released only 25pc of required funds.,1
"Appoints two new ministers, one adviser, eight special assistants.",1
"Last week, IWMB confiscated a mounted Ibex trophy that was being sold on OLX illegally for Rs65,000.",1
The court directs the police to probe the matter and submit a report.,1
NIH plans to export antisera as it has ISO certification.,1
Demonstration leader apologises for 'hurtful comments'.,1
"Robbers make off with cash, valuables in 36 hits during 24 hours.",1
The number surpasses the figure of the preceding year.,1
Justice Gulzar Ahmed plants a sapling on the premises of the Quaid-i-AzamÃ¢â‚¬â„¢s mausoleum.,1
Gilgit-Baltistan has the highest percentage of female police personnel in the country.,1
"Trump speaks to more than 5,000 Christians, including a large group of Latinos, at a Miami megachurch.",1
"Since late September, 23 people have died, more than 1,500 homes have been damaged.",1
Museveni is one of AfricaÃ¢â‚¬â„¢s longest-ruling leaders.,1
Takano says he has never before felt such disgust over JapanÃ¢â‚¬â„¢s legal system.,1
Rajapaksa delivers his first-ever address to parliament on Friday after winning the presidential election on Nov 16.,1
The death toll from the disaster jumps to 60.,1
The top eight from the round robin go onto the knockout phase in Sydney.,1
South Africa trail by 54 runs on the first innings having bowled England out for 269.,1
The ICCÃ¢â‚¬â„¢s plans to cut the length of Test matches from 2023 have divided players and nations.,1
The Sydney Test is being played against the backdrop of one of AustraliaÃ¢â‚¬â„¢s most devastating bushfire seasons.,1
"""YouÃ¢â‚¬â„¢re not just playing for yourself youÃ¢â‚¬â„¢re playing for a team that is really enjoyable to be a part of,"" he says.",1
Many donÃ¢â‚¬â„¢t know yet what crops theyÃ¢â‚¬â„¢ll plant next season among a host of dicey options.,1
TripMate already has 11 cities live while almost half the work is done for another 12.,1
"KSE-100 index logs gains of 1,475 points (3.61 per cent) and closes at 42,323.",1
"From Jan 1, 2019, till yesterday this year, one tola and 10g gold price swell by Rs23,000 and Rs19,718.",1
Borrowings in single week of December witnessed a jump of 55pc.,1
Provincial information minister says Akbar Khan qualified to run education department.,1
"Several houses severely damaged, residents displaced.",1
"Mohammad Ali Sadpara has previously climbed all five 8,000-metre-high peaks in Pakistan.",1
'Google' and 'web' chosen as words of the past two decades.,1
Highlights the navyÃ¢â‚¬â„¢s role in safeguarding the maritime frontiers and ensuring safety of sea lines of communication.,1
FM Qureshi says India must be made to allow a UN mission in the occupied valley.,1
Tax body admits half-yearly collection target missed by Rs114bn.,1
Two cases each were reported from Sindh and Balochistan and one from KP.,1
"Opposition, govt agree on renewed timeline for legislation regarding services chiefs tenure.",1
"""This is a craven attempt to stifle artistic freedom of expression,"" says HRCP.",1
"The visa, available to all nationalities, is aimed at boosting the local tourism industry.",1
"Minister regrets that some people defame others ""for the sake of likes and ratings without any accountability"".",1
Demands an unconditional public apology and retraction of rape allegations within 14 days of receipt of notice.,1
"Imran Khan says his government has decided to combat drug abuse and child abuse ""on an emergency basis"".",1
Several like Sonam Kapoor and Mahesh Bhatt took to Twitter to condemn the attack and lend their support to the students.,1
"""The situation in the Middle East is very sensitive, fluid and concerning,"" says Shah Mehmood Qureshi.",1
"There is no evidence that Iran directly supported the 9/11 hijackers, many of them Saudi members of  Al Qaeda.",1
Australia's capital Canberra currently has the worst air quality of any major city in the world.,1
"Lahore University of Management Sciences, commonly abbreviated as Lums, has changed its name to Lums University.",1
Serena Williams is scheduled to meet Coco Gauff in the quarter-finals if they both win their first two matches.,1
Punjab Education Minister Murad Raas confirms govt and private schools will reopen on Jan 13.,1
"""The RSS-inspired BJP government has absolutely no credentials even to pretend that it is a protector of minorities.""",1
The model tied the knot with Jamil Haider Rizvi in Lahore over the weekend.,1
Video game and television streaming fans are expected to be among the first to reap the bounty of 5G.,1
Australia have won all five Tests at home after retaining the Ashes by drawing the series 2-2 in England this season.,1
"In all, more than 80 women have accused Weinstein of sexual misconduct dating back decades.",1
"Unlike celebrity kids groomed for tailor-made debuts, outsiders have to contend with harassment and gruelling routines.",1
The implications of the economic trials faced by PakistanÃ¢â‚¬â„¢s automotive industry.,1
"""The voice of India's youth and students is being muzzled everyday,"" says Indian opposition leader Sonia Gandhi.",1
Two main crude contracts up more than two per cent in early Asian trade.,1
Celeb stylists spill their secrets.,1
Japan has walked a fine line in balancing its alliance with Washington and its longstanding relations with Iran.,1
"1917 wins best motion picture, while Fleabag wins best comedy TV series.",1
"""Crazy Trump, don't think that everything is over with my father's martyrdom,"" says Qasem Soleimani's daughter.",1
"As a masked mob carried out attacks on campus, a group at the gate assaulted journalists reporting on the violence.",1
