_id,title,text,Timestamp,Section,label
22,What does Pakistani fashion hold in store for 2020?,"Fashion in Pakistan has always been a rollercoaster ride but in 2019, it slowed down, becoming more of a chugging train.",2020-01-01T11:30:00,Pakistan,1
23,Trump threatens Iran after Baghdad embassy attacked,"""They will pay a very BIG PRICE! This is not a Warning, it is a Threat,"" writes Trump, adding ""Happy New Year!""",2020-01-01T13:29:00,World,1
24,An industry confused,"Patrick Collister, Editor, Directory magazine, on Directory's Top 20 Most-Awarded Campaigns of 2019",2020-01-01T11:14:00,,1
25,Justice Mamoon Rashid Sheikh sworn in as 49th chief justice of Lahore High Court,Punjab Governor Chaudhry Mohammad Sarwar administered oath to Justice Sheikh at a ceremony held at Governor House Lahore,2020-01-01T11:13:00,Pakistan,1
26,Editorial: Facebook vs Kashmir,"For Kashmiris and those lobbying for their rights, social media in its current form is more curse than blessing.",2020-01-01T10:36:00,World,1
27,Return of Test cricket overshadows Pakistanâ€™s misfortunes in 2019,If anything the year gone by can be portrayed as a mixed bag of everything for Pakistan cricket.,2020-01-01T09:59:00,Sport,1
28,"Uncertainty on several, if not all, fronts was the hallmark of governance in Pakistan through 2019",The good moments in politics in Pakistan are just that â€” moments.,2020-01-01T08:36:00,Pakistan,1
29,Newsmakers: When India went bonkers,"IT was a year when India, by its own standards, went bonkers. From revocation of Article 370 to Citizenship (Amendment)",2020-01-01T08:34:00,Sp Supplements,1
30,Cover Story: Change or continuity,The good moments in politics in Pakistan are just that â€” moments.,2020-01-01T11:35:00,Sp Supplements,1
31,2020 will be a test of the governmentâ€™s decisiveness regarding the economy,Will the govt walk the critical walk in 2020?,2020-01-01T08:18:00,Business,1
32,Triumph of Greed,Bahria's modus operandi has been the elephant in the room for a long time even though its activities were no secret.,2020-01-02T08:14:00,Sp Supplements,1
33,National: Cornered but not quite,"COURTS, parliament, hospitals, tentative agreements, accusations of last-minute betrayal â€“ yet it is moot if 2019...",2020-01-01T08:14:00,Sp Supplements,1
34,A Dysfunctional ECP,"THIS was a happening year. Indeed, it was. But under the debris of all the important economic and political...",2020-01-01T08:12:00,Sp Supplements,1
35,Judiciary: Treason now accountable,"AT last a conviction for high treason has been recorded and, hopefully, Article 6 of the Constitution can no longer...",2020-01-01T22:59:00,Sp Supplements,1
36,Economy: Talking the big talk,Will the govt walk the critical walk in 2020?,2020-01-01T11:35:00,Sp Supplements,1
37,"Mideast: Turmoil, turbulence, travails","THE death of two men starkly opposite in character, and Americaâ€™s abject surrender once again to Zionist power...",2020-01-01T08:05:00,Sp Supplements,1
38,"Editorial: As Pakistan enters 2020 with cautious hope, PM Imran will need to shed the 'container syndrome'","At the start of this new year, let us all, and not just the government, embrace the coming decade with an open mind.",2020-01-01T08:01:00,Pakistan,1
39,Pakistan's decade to nowhere,Rising authoritarianism is undermining democratic political culture and basic rights in Pakistan.,2020-01-01T07:58:00,Pakistan,1
40,"Biggest urbanisation in history under way, says study",The United Nations expects 70 per cent of people globally to be living in urban areas by 2050.,2020-01-01T09:07:00,Newspaper,1
41,India to restore text messaging services in occupied Kashmir,Official says internet services in govt hospitals will also be restored while curbs on broadband internet will remain.,2020-01-01T09:14:00,Newspaper,1
42,Tribal clashes claim 24 lives in Sudan,Rebel groups have suspended peace talks with the govt in response to the tribal clashes and called for an investigation.,2020-01-01T09:01:00,Newspaper,1
43,Abducted journalistâ€™s wife accuses Sri Lankan army of derailing case,"Says officers serving in the military intelligence are trying to destroy evidence, intimidate witnesses.",2020-01-01T08:56:00,Newspaper,1
44,Change of rules may end deadlock on ECP slots,"Rules made in 2011 are not binding on existing parliamentary committee, observes IHC chief justice.",2020-01-01T07:49:00,Pakistan,1
45,Uber sues California over gig economy labour law,"The legislation, known as Assembly Bill 5, is due to go into effect on Wednesday.",2020-01-01T08:31:00,Newspaper,1
46,Rupee suffers hard against all major currencies,The biggest appreciation seen in the British pound which gained over 15 per cent.,2020-01-01T08:34:00,Newspaper,1
47,2019: a good year for gold,"The one tola and 10 gram rates on Dec 31 were quoted at Rs88,400 and Rs75,790 based on world price of $1,522 per ounce.",2020-01-01T08:27:00,Newspaper,1
48,Six-month revenue collection shortfall rises to Rs287bn,"Tax return filing date extended till Jan 31, 2020.",2020-01-01T08:25:00,Newspaper,1
49,The 2010s are likely to be viewed as the decade of smartphones of dumb regimes,"Inevitably, much of the good, the bad and the ugly will carry over into the 2020s.",2020-01-01T07:41:00,World,1
50,Stocks lose 152 points in directionless trade,"KSE-100 index closes down by 152.55 points (0.37 per cent) at 40,735.08.",2020-01-01T07:35:00,Newspaper,1
51,PSX returns to positive territory,Pakistani stocks managed to eke out a positive return of 10pc in 2019.,2020-01-01T07:35:00,Newspaper,1
52,Lack of LEAsâ€™ support hampers efforts to prevent sale of fake drugs in KP,Perpetrators often remain unpunished due to which the business of counterfeit medicines continues unabated.,2020-01-01T10:01:00,Pakistan,1
53,Sindh chief minister raises burning issues in letter to PM,"Expresses concern over halt in funds for critical health projects, gas shortage in the province and water distribution .",2020-01-01T08:18:00,Pakistan,1
54,Indian violations claimed 59 lives along LoC in 2019,"Shelling also wreaked havoc on civilian properties and damaged public sector facilities, says official.",2020-01-01T08:25:00,Pakistan,1
55,Govt defends establishment of CPEC Authority,"Opposition terms setting up the authority through a presidential ordinance an ""illegal"" move.",2020-01-01T08:09:00,Pakistan,1
56,"WB-funded literacy programme to be launched in Punjab, Sindh","Project will also support continuous training for tutors, principals and community groups to ensure quality teaching.",2020-01-01T08:36:00,Pakistan,1
57,Two MPAs of Balochistan Awami Party unseated by election tribunal,Tribunal also asks the ECP to de-notify the notifications for the election victory of the two MPAs.,2020-01-01T08:42:00,Pakistan,1
58,PHC stops FBR from acting against textile mills,Mills challenge the retrospective application of reduction in tax credit from 10 per cent to 5pc for industrial units.,2020-01-01T10:06:00,Pakistan,1
59,"Price of petrol raised by Rs2.61 per litre, kerosene by Rs3.10","Apart from consumer fuel, the prices of aircraft fuel have also been raised.",2020-01-01T13:30:00,Newspaper,1
60,Nadra sets up desks to register transgender persons for health cards,"""All transgender persons can avail health facilities under the Sehat Sahulat Programme,"" says PM's aide.",2020-01-01T07:57:00,Pakistan,1
61,Asifâ€™s second world title capped a year of reasonable success for Pakistan snooker,Pakistan snooker witnessed two contrasting scenarios in a span of almost one year â€” from Dec 2018 to Nov 2019.,2020-01-01T10:05:00,Newspaper,1
62,Sensational Babar Azam reflects on 2019,"The year lifted him to a new level in Test cricket, says Azam.",2020-01-01T13:24:00,Newspaper,1
63,Misbah fails to mention high-achieving Abid in  year-ending statement,"""Overall, we are on the right track. The more we play the longer format, the more we will improve,"" says Misbah.",2020-01-01T09:55:00,Newspaper,1
64,Cautious England to back four-day Test proposal,Four-day matches were given the green light by the ICC in 2017.,2020-01-01T09:58:00,Newspaper,1
65,Karachi witnessed decrease in terrorism incidents in 2019,Among prominent incidents in the outgoing year are an attack on Mufti Taqi Usmani and kidnapping of girls in DHA.,2020-01-01T09:03:00,Pakistan,1
66,Building collapse probe to identify negligent SBCA officials begins,The order to hold the inquiry came from the Local Government Minister Syed Nasir Hussain Shah.,2020-01-01T09:07:00,Pakistan,1
67,Ringing in the New Year at Seaview,"Earlier, Sindh Chief Minister Syed Murad Ali Shah lifted the ban on pillion riding in Karachi.",2020-01-01T08:59:00,Pakistan,1
68,A tough year for Pakistan Railways: 2019 marred by over 100 accidents,Officials say a politically motivated and cosmetic approach main reasons behind surge in derailments and accidents.,2020-01-01T09:48:00,Pakistan,1
69,Irrigation dept claims credit for executing key projects in 2019,Official says provincial irrigation dept also conducted a major campaign against water theft.,2020-01-01T09:36:00,Pakistan,1
70,Punjab Assembly resolution seeks most stringent anti-blasphemy laws,Resolution asks govt to set up a central screening system to intercept blasphemous material on social media.,2020-01-01T09:32:00,Pakistan,1
71,"Quota for tribal dists, Balochistan students increased in medical colleges","Four seats in each of 59 medical and dental colleges have been added to the special quota, Senate body told.",2020-01-01T09:22:00,Pakistan,1
72,"Crime App, alert button to help complainants in police stations in Rawalpindi",RPO says initiative aimed to ensure citizens approach police to lodge any complaint without fear.,2020-01-01T09:25:00,Pakistan,1
73,"77,513 kanals Benami properties detected in Pindi division",The cases have been referred to FBR for further investigations in light of the Benami Act 2017.,2020-01-01T09:32:00,Pakistan,1
74,Two houses of parliament convened on 24-hour notice,Govt says decision made to take legislature into confidence over recent developments.,2020-01-01T08:15:00,Newspaper,1
75,3 Chinese nationals acquitted in ATM-skimming case due to lack of evidence,"They had been charged with committing electronic crimes, cyber terrorism, fraud and forgery in 2018 in Karachi.",2020-01-03T00:14:00,Pakistan,1
76,NAB prosecutor in two references against Zardari resigns citing personal reasons,Special Prosecutor Mudassir Naqvi was representing NAB in Park Lane and money laundering references.,2020-01-02T20:53:00,Pakistan,1
77,Decision to amend NAB law made in the interest of the country: PM Imran,"""Our real aim is wealth creation so the country which is buried under the burden of loans [can be freed].""",2020-01-02T19:35:00,Pakistan,1
78,"3 killed, several feared trapped as multi-storey building collapses in Sukkur",Officials say several people are still feared to be trapped under the rubble; rescue operation underway.,2020-01-02T22:48:00,Pakistan,1
79,Daniel Craig and Charlize Theron among presenters at the Golden Globes,Ricky Gervais will also return as host for the 77th annual Golden Globes Awards for the fifth time.,2020-01-02T16:57:00,World,1
80,"Stocks continue to soar for second consecutive day as mutual funds, banks spring into action","Analysts say strong expectation of falling interest this year encouraged bank treasuries, mutual funds.",2020-01-02T19:10:00,Business,1
81,Do you think PM Imran Khan could make it in Bollywood? Dev Anand did,"Anand apparently turned up at IK's flat in London trying to convince him to act in his directorial, Awwal Number.",2020-01-03T11:59:00,Pakistan,1
82,Ainy Jaffri and husband announce they've had a baby boy,"She revealed that their son, Aydin, was born in August 2019.",2020-01-02T15:14:00,Pakistan,1
83,Anti-Islamic slogans spray-painted near London mosque,"""All prejudice is cowardly and criminals will face the full force of the law,"" says London Mayor Sadiq Khan.",2020-01-02T15:35:00,World,1
84,Text messaging services only partially restored in occupied Kashmir: report,"Partial restoration of text messaging services has angered citizens, says Indian media.",2020-01-02T14:32:00,World,1
85,The monsters are taking over in the Quiet Place 2 trailer,Time to hold our breath and not make a sound!,2020-01-02T14:13:00,World,1
86,Canadian military police assigned Pokemon Go after fans invade bases,"""We should almost hire a 12-year-old to help us out with this,"" writes security expert David Levenick.",2020-01-02T13:55:00,World,1
87,Taiwan's top military chief killed in helicopter crash,62-year-old Shen Yi-ming among eight senior officers on a routine mission to visit soldiers in Yilan county.,2020-01-02T13:29:00,World,1
88,"Abu Dhabi crown prince, PM Imran discuss 'ways to enhance bilateral ties'","Crown prince seen off at the Nur Khan Airbase by Federal Minister for Energy Omar Ayub after ""official"" daylong visit.",2020-01-02T17:49:00,World,1
89,Pakistan rejects new Indian army chiefâ€™s â€˜irresponsible statement on pre-emptive strikes across LoCâ€™,"Foreign Office says there should be no doubt about Pakistan's ""resolve and readiness"" to thwart Indian aggression.",2020-01-03T07:53:00,Pakistan,1
90,You're Goana wanna try this delicious fish curry recipe,Savoury fish swirling in an aromatic red curry will whet your appetite and warm your heart this winter.,2020-01-02T11:24:00,Pakistan,1
91,14 injured as New Delhi factory collapses in fire,Rescue operation under way as officials fear some people may be trapped under the debris.,2020-01-02T12:18:00,World,1
92,Twitter reacts to Lahore braving its coldest winter in decades,"@weather: we're humans, not penguins.",2020-01-02T12:52:00,Pakistan,1
93,Saudi Arabia uses sports 'soft power' as lever of influence,Critics say sporting events are aimed at blunting public frustration over an economic downturn and youth unemployment.,2020-01-02T10:41:00,World,1
94,Arsenal blow away Man Utd to hand Arteta first win,"""I am very pleased with the performance, I'm even more pleased with the result,"" says Arteta.",2020-01-02T09:44:00,Sport,1
95,First-ever teacher appointed head of KP's Local Governance School,The school has previously been led by senior officials of the LG dept with expertise in the local body system.,2020-01-02T09:35:00,Pakistan,1
96,Bahria Town and the triumph of greed,Bahria's modus operandi has been the elephant in the room for a long time even though its activities were no secret.,2020-01-02T08:17:00,,1
97,Editorial: Pakistan is making steady progress out of the grip of militancy,"After nearly two decades of gut-wrenching violence that claimed thousands of lives, Pakistan has turned a corner.",2020-01-02T07:48:00,Pakistan,1
98,2019 is likely to go down in history as a wasted year in terms of democratic development,The govt failed to address the challenges of running a democratic dispensation by diluting  principles and practices.,2020-01-02T07:37:00,Pakistan,1
99,2020: The year of political and economic stability,"Economic matters cannot run on autopilot, nor can they be delegated to one or two men.",2020-01-02T07:36:00,Pakistan,1
100,Security forces release eight Khyber tribesmen after talks with jirga,One of the arrested tribesmen died under mysterious in custody on Dec 22.,2020-01-02T09:56:00,Pakistan,1
101,"Over 50,000 raids conducted against spurious, substandard drugs last year",The move was aimed at getting WHOâ€™s listed authorities permission to export medicines.,2020-01-02T09:26:00,Pakistan,1
102,"Govt charges PPP over Rs400,000 for â€˜damagesâ€™ in Liaquat Bagh",This is the first time any political party has had to pay the Parks and Horticulture Authority for damages.,2020-01-02T09:24:00,Pakistan,1
103,60pc of water being supplied to Hyderabad is unchlorinated,Water supply unable to go through the chlorination process at filtration plants due to Wasa's financial crisis.,2020-01-02T09:24:00,Pakistan,1
104,Body set up to probe building collapse,Committee will probe whether the building was constructed as per the approved design.,2020-01-02T09:17:00,Pakistan,1
105,"16 govt bills, 40 resolutions passed by Sindh Assembly in 2019",PA has been in session for 199 days out of 506 since Aug 2018 putting it ahead of legislatures in other provinces.,2020-01-02T09:13:00,Pakistan,1
106,"12 hurt in New Year jubilation firing, 15 suspects held",Police say that the number of victims this year is less than previous years.,2020-01-02T09:07:00,Pakistan,1
107,Schools reopen in Sindh despite harsh weather,Various school associations had approached the education secretary seeking an extension in the winter holidays.,2020-01-06T23:36:00,Pakistan,1
108,Rana Sanaullah demands judicial probe into drug case,Says PTI government has nothing to give the country except politics of victimisation.,2020-01-02T09:13:00,Pakistan,1
109,Punjab govt to work with experts to fight natural calamities,It has also decided to adopt a strategy of risk assessment before any disaster.,2020-01-02T09:11:00,Pakistan,1
110,"Erdogan, Istanbul mayor lock horns over â€˜crazy canalâ€™","""Canal Istanbul is a criminal project,"" says Ekrem Imamoglu.",2020-01-02T08:44:00,Newspaper,1
111,Syrian govt missiles kill eight in Idlib shelter,"Syriaâ€™s civil war has killed more than 370,000 people since it started in 2011.",2020-01-02T08:51:00,Newspaper,1
112,Pope sorry for slapping woman,"""We lose patience many times,"" he confesses.",2020-01-02T10:15:00,Newspaper,1
113,Pro-Iran protesters leave US embassy in Baghdad,President Donald Trump and other US officials have blamed Iran for attacks on US forces and the embassy.,2020-01-02T08:27:00,Newspaper,1
114,Flames from sky lanterns kill 30 monkeys in Germany,Only two chimpanzees could be rescued from the flames by firefighters.,2020-01-02T08:36:00,Newspaper,1
115,"12 dead, several missing as Australia counts cost of devastating bushfires",Bushfires have destroyed more than 4 million hectares (10 million acres).,2020-01-02T08:34:00,Newspaper,1
116,Taliban attacks leave 26 security personnel dead,The Taliban have intensified their attacks in northern Afghanistan in recent days.,2020-01-02T08:30:00,Newspaper,1
117,Nine die as floods swamp Indonesian capital,Indonesiaâ€™s National Disaster Mitigation Agency calls on residents to leave flood-hit areas.,2020-01-02T08:31:00,Newspaper,1
118,"â€˜Nasim released from junior side after discussions with Misbah, Waqarâ€™","The main purpose of a strong national junior squad is to provide good talent to the senior team, says Ijaz Ahmed.",2020-01-02T10:17:00,Newspaper,1
119,Brighton spoil Chelseaâ€™s New Year party as Villa secure vital win,Chelsea boss expresses concern about the lack of consistency from his side.,2020-01-02T10:14:00,Newspaper,1
120,"No question over Paineâ€™s captaincy, insists Langer","Paine, 35, scored his seventh Test half-century in the second Test against New Zealand in Melbourne.",2020-01-02T09:52:00,Newspaper,1
121,Lyon shoots down four-day Test concept,The cash-rich Indian cricket board (BCCI) are yet to declare their stance on the matter.,2020-01-02T09:58:00,Newspaper,1
122,Racial quotas row clouds South Africa selections,South Africaâ€™s previously all-white cricket team has changed dramatically over the last three decades.,2020-01-02T10:08:00,Newspaper,1
123,"IPO regime made simpler, more efficient",Amendments to IPO Regulations 2017 have been made with the objective to promote capital formation.,2020-01-02T08:45:00,Newspaper,1
124,CDWP approves Rs13bn development projects,"Projects approved with the aim to improve livelihoods, transport and communications and water management.",2020-01-02T08:35:00,Pakistan,1
125,Profit outflow rises to $600m,Data also shows that profits on portfolio investment significantly decreased during this period.,2020-01-02T08:39:00,Newspaper,1
126,Inflation clocks in at 12.63pc in December,Data shows that higher food prices have been the largest driver in overall inflation over the previous month.,2020-01-02T08:28:00,Newspaper,1
127,"Pakistan, Iran vow effective measures to curb terrorism along border","Facilities for traders, common people living near border promised.",2020-01-02T09:14:00,Pakistan,1
128,IHC extends Akram Durraniâ€™s bail till 15th,Sharjeel Inamâ€™s pre-arrest bail extended till 7th.,2020-01-02T09:08:00,Pakistan,1
129,NAB recovered Rs150bn last year: chairman,"Investigators, prosecutors told to probe white-collar crime cases on scientific basis.",2020-01-02T08:00:00,Pakistan,1
130,India has installed lethal weapons at LoC: Masood,AJK President Sardar Masood Khan says these reveal the highly aggressive designs of the Modi govt against Pakistan.,2020-01-02T09:17:00,Pakistan,1
131,PM vows to turn dream of welfare state into reality,Says government considering issuing ration cards to poor families.,2020-01-02T07:46:00,Pakistan,1
132,"Pakistan, India share details of prisoners, N-facilities","366 Pakistanis are languishing in Indian jails, while 282 Indians are in the custody of Pakistani authorities.",2020-01-02T07:43:00,Pakistan,1
133,"Tax laws changed to punish currency smugglers, benefit traders",Ordinance was notified on Dec 28 but released to media on Jan 1.,2020-01-02T08:03:00,Newspaper,1
134,PMâ€™s aide directs FBR to raise revenue collection,Says each dollar not earned by the revenue authority will have to be borrowed.,2020-01-02T07:16:00,Newspaper,1
135,Cabinet rushes out draft bill on COAS extension,Decides to table bill in parliament tomorrow after consulting the opposition on the matter.,2020-01-02T13:11:00,Newspaper,1
136,Tens of thousands rally in Iran capital against US 'crimes' after killing of top commander,"â€œThis was a good move, so that the whole world would realise who the terrorist is. The whole world found that out.""",2020-01-04T15:45:00,World,1
137,Uber completes acquisition of Careem,The regulatory approval process in Pakistan is ongoing after which the transaction will close in the country: statement.,2020-01-03T21:15:00,World,1
138,"Protesters surround Gurdwara Nankana Sahib, disperse after negotiations",The hours-long protest was against the arrest of suspects in an alleged forced conversion case.,2020-01-04T19:10:00,Pakistan,1
139,Trump says Iran's Soleimani should have been killed 'many years ago',US Secretary of State says strike aimed to disrupt â€œimminent attackâ€ that would've endangered Americans in Middle East.,2020-01-03T22:37:00,World,1
140,Bajwa emphasises 'need for maximum restraint' in call with Pompeo following Soleimani's killing,"FO expresses ""deep concern"" over tensions resulting from the killing of top Iranian commander in a US strike.",2020-01-04T08:59:00,Pakistan,1
141,Sukkur building collapse: 3-year-old girl rescued alive after 21 hours from underneath debris,Death toll rises to 6; five others also pulled out from the rubble in a wounded state.,2020-01-03T20:20:00,Pakistan,1
142,Mahira Khan started the new year by answering questions from her fans,"New year, same tradition, new answers!",2020-01-03T17:03:00,Pakistan,1
143,"Jibran Nasir makes excellent biryani, according to Mansha Pasha",She also shared that life after engagement is going well.,2020-01-03T16:25:00,Pakistan,1
144,Is secular India finally saying 'enough is enough'?,The anger of a new generation against divisive politics of a leader is not an ordinary protest â€” itâ€™s a revolt.,2020-02-08T11:02:00,Prism,1
145,Yasir Nawaz is stepping into the food business with a new restaurant in Karachi,Images spoke to Yasir to get some more details.,2020-01-03T15:10:00,Pakistan,1
146,Special Economic Zones will enable Chinese industries to relocate to Pakistan: PM Imran,Premier performs groundbreaking of Allama Iqbal Industrial City in Faisalabad; inaugurates city's first shelter home.,2020-01-03T20:01:00,Pakistan,1
147,Israel braces for Iranian retaliation after Soleimani assassination,The govt of America's closest ally in the Middle East gave no immediate response to the deaths on Friday.,2020-01-03T22:36:00,World,1
148,"I'm honoured if Coldplay copied my music video, says Pakistani musician Abdullah Qureshi",Speculations arose that the band's video for 'Daddy' is a little too similar to Qureshi's video for 'Laapata',2020-01-03T13:24:00,Pakistan,1
149,'World more dangerous': Reactions pour in as Iran's top general killed in US air strike,"""Soleimani's assassination an extremely dangerous and foolish escalation,"" says Iranian foreign minister.",2020-01-03T22:34:00,World,1
150,ToTok co-creator denies app is a spying tool for UAE,Says he had no knowledge that people and companies linked to the project had ties to the country's intelligence.,2020-01-03T21:44:00,Tech,1
151,"Oil prices surge, markets mixed after US kills top Iran general","""A big fat dollop of geopolitical uncertainty has landed on investors' desks,"" says Oanda analyst.",2020-01-03T16:24:00,Business,1
152,"It is 2020 and the government has a new resolution: the provision of â€˜Roti, Kapra, Makan and Internetâ€™",There is concern of overlapping functions in leading the country towards digitalisation.,2020-01-03T12:00:00,Pakistan,1
153,Standing committee on defence approves bills concerning services chiefs' tenure,Bills approved by the committee unanimously; will be presented for approval in the next National Assembly session.,2020-01-03T23:18:00,Pakistan,1
154,Qasem Soleimani â€” the general who became an Iran icon by targeting US,"Unknown until the 2003 US invasion of Iraq, Soleimani's popularity grew out American officials calling for his killing.",2020-01-03T19:40:00,World,1
155,Fatima Bhuttoâ€™s new book shows how the East has started to take its narrative in its own hands,"Bollywood, Turkish soap operas and K-pop are giving Hollywood a run for its money.",2020-01-03T11:58:00,Pakistan,1
156,You can now go ice fishing on your next trip to Malam Jabba,There's also an international snowboarding championship being organised there!,2020-01-03T11:59:00,Pakistan,1
157,KP's Saddar Bazaar â€” the last of the old,The demolition of Capitol cinema will be the climax in a series of events that has seen the effacement of the old.,2020-01-03T09:59:00,Pakistan,1
158,Top Iran commander killed in US strike on Baghdad; Khamenei vows â€˜severe revengeâ€™,US embassy in Baghdad issues travel advisory urging all Americans to depart Iraq immediately.,2020-01-03T18:42:00,World,1
159,If NAB was truly a body dedicated to eradicating white-collar crime its structure would have reflected this,NAB adopted an approach of riding roughshod over the law.,2020-01-03T07:57:00,Pakistan,1
160,Editorial: India should dial down its aggressive manoeuvres and rhetoric without delay,"Conflict suits no one, least of all two countries armed with nuclear weapons.",2020-01-03T07:35:00,World,1
161,The Buzdar project must have some success,The 2020 huddle of the big three in Punjab is meant to serve as a symbol of unity.,2020-01-03T07:26:00,Pakistan,1
162,KP lawmakers rail at policeâ€™s night search operations,"Minister assures PA of an inquiry, says accountability of the of police force is necessary.",2020-01-03T09:52:00,Pakistan,1
163,Ice fishing attracts tourists to Malam Jabba,Tourists say the experience is something new and unique.,2020-01-03T10:02:00,Pakistan,1
164,"Drug trafficking, consumption termed a national security threat",Senator Nuzhat Sadiq suggests involving individuals who have fought addiction as role models.,2020-01-03T09:31:00,Pakistan,1
165,CCP launches probe into 62 housing schemes,Probe initiated after the LDA launched ads about deceptive marketing by housing schemes in Lahore and surrounding areas.,2020-01-03T09:41:00,Pakistan,1
166,Four die in leather warehouse blaze in Lahore,Witnesses said the injured were in the upper portion of the building and were trapped due to the toxic smoke and flames.,2020-01-03T09:42:00,Pakistan,1
167,"Transport strike in Punjab ends after govt puts on hold increase in toll, fines",Protest left citizens across the province stranded at bus stops forcing them to search for other means of transport.,2020-01-03T09:29:00,Pakistan,1
168,MQM-P to decide on Bilawalâ€™s offer in peopleâ€™s interest: mayor,Says PPP has to remove MQM-P's apprehensions first.,2020-01-03T09:13:00,Pakistan,1
169,Prices of consumer goods soared unusually high in 2019,The most alarming jump was seen in varieties of flour which went up by Rs15-18 per kg from April 2019 onwards.,2020-01-03T08:59:00,Pakistan,1
170,Sindh CM-governor meeting seen as positive sign for cityâ€™s development projects,Murad pledges to complete his part of the job on Centre-funded projects.,2020-01-03T08:57:00,Pakistan,1
171,Teenager from Shikarpur dies of rabies  at JPMC,"Officials said the total number of dog-bite cases across Sindh last year was more than 130,000.",2020-01-03T09:08:00,Pakistan,1
172,"Austrian coalition agrees upon headscarf ban, preventive custody","Conservative leader Sebastian Kurz describes move as part of his stance on illegal immigration and â€œpolitical Islam"".",2020-01-03T09:22:00,Newspaper,1
173,Computer programme beats human breast cancer diagnosis,Researchers have trained an artificial intelligence model to detect cancer in breast scans from thousands of women.,2020-01-03T09:15:00,Newspaper,1
174,Evacuation of fire-ravaged towns ordered in Australia,The number of homes confirmed destroyed in recent days has topped 400 with that figure expected to rise .,2020-01-03T09:10:00,Newspaper,1
175,Turkish MPs vote to send troops to Libya,Turkey has used its alliance with the Tripoli government to advance other interests.,2020-01-03T09:05:00,Newspaper,1
